yes		stotra	1141		Ekottarikastotra	Mātṛceṭa	y	Terzová 2019	yes (Szántó)	D1141_Mātṛceṭa_Ekottarikastotra-Terzová.txt	yes	Terzová 2019 Ekottarikastava MA-Arbeit.pdf
yes		stotra	1147		Prasādapratibhodbhava (a.k.a. Śatapañcāśatka, Adhyardhaśataka)	Mātṛceṭa	y	Shackleton Bailey 1951	yes (GRETIL)	D1147_Mātṛceṭa_Śatapañcāśatka-SchackGretil.txt	yes
yes		stotra	1149		Gaṇḍīstotragāthā	Aśvaghoṣa	y	Staël-Holstein 1913	yes	see Bauddhastotrasaṃgraha (Pandey 1994) no. 20	yes	Staël-Holstein 1913 Gaṇḍīstotragāthā.pdf
		stotra	1153		*Mahābodhibhaṭṭārakastotra	Vararuci	n	palm-leaf ms. in Potala	no			not accessible
yes		stotra	1159		Deśanāstava	Candragomin	y	Liu & Schneider 2022	yes (Szántó)	D1159_Candragomin_Deśanāstava.txt	yes	Liu Schneider 2022 Buddhist Hymns.pdf
yes		stotra	1165		Saptajinastava	unknown	y	Staël-Holstein 1913	yes (Szántó)	D1165_anon_Saptajinastava.txt	yes	Staël-Holstein 1913 Gaṇḍīstotragāthā.pdf
yes		stotra	1167		Suprabhātastava	Harṣa	y	Liu 2022	yes (Szántó)	D1167_Harṣa_Suprabhātastava-Liu.txt	yes	Liu 2022 Suprabhāta.pdf
yes		stotra	1168		Aṣṭamahācaityavandanā	Harṣa	y	Lévi 1894 (and others, e.g. Bauddhastotrasaṃgraha no. 22)	yes (Szántó)	D1168_Harṣa_Aṣṭamahācaityavandanā-Lévi.txt	yes	Lévi 1894 poesie inconnue.pdf
yes		stotra	1171		*Kīrtidhvajapraśasti	Sugataśrī	n	photo of a ms. in Sankrtyayan 1957	yes (Szántó)	D1171_Sugataśrī_*Kīrtidhvajapraśasti.txt	yes		the Tibetan translation seems to be a later version, this looks like a draft. NB Skt. text praising a Tibetan, Grags pa rgyal mtshan
		stotra	1173		*Siṃhanādalokeśvarabhaṭṭārakasya stutiḥ	*Dvijapāla/Dvijarakṣita	n	reported to survive in a Drepung ms.	no			not accessible, see Matsuda 2019, no. 11
		stotra	1174		Lokeśvararatnamālāstava	Vanaratna	y	Pandey 1994	yes	see Bauddhastotrasaṃgraha (Pandey 1994) no. 68		Pandey 1994 Bauddhastotrasaṃgraha.pdf	editio princeps?
yes		stotra	1177		Vanaratnastotra	Āditya	y	Hahn 1996	yes (Szántó)	D1177_Āditya_Vanaratnastotra-Hahn.txt	yes	Hahn 1996 Vanaratnastotra.pdf
yes		stotra	1178		Jātakastava	Jñānayaśas	y	Shackleton Bailey 1954	yes (GRETIL)	D1178_Jñānayaśas_Jātakastava-Shack.txt	yes
