metadata,original,renamed,score,method
SA_K12_Āgama_Saṃvarodayatantra-ch11_Szántó-metadata.json,Samvarodaya_11.txt,SA_K12_Āgama_Saṃvarodayatantra-ch11_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch12_Szántó-metadata.json,Samvarodaya_12.txt,SA_K12_Āgama_Saṃvarodayatantra-ch12_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch14_Szántó-metadata.json,Samvarodaya-14.txt,SA_K12_Āgama_Saṃvarodayatantra-ch14_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch15_Szántó-metadata.json,Samvarodaya_15_pātralakṣaṇa.txt,SA_K12_Āgama_Saṃvarodayatantra-ch15_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch16_Szántó-metadata.json,samvarodaya_16.txt,SA_K12_Āgama_Saṃvarodayatantra-ch16_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch1_Szántó-metadata.json,Samvarodaya_01.txt,SA_K12_Āgama_Saṃvarodayatantra-ch1_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch20_Szántó-metadata.json,Samvarodaya-20.txt,SA_K12_Āgama_Saṃvarodayatantra-ch20_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch22_Szántó-metadata.json,Samvarodaya-22.txt,SA_K12_Āgama_Saṃvarodayatantra-ch22_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch24_Szántó-metadata.json,Samvarodaya-24.txt,SA_K12_Āgama_Saṃvarodayatantra-ch24_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch25_Yamano_2007-metadata.json,Samvarodaya_25_Yamano.txt,SA_K12_Āgama_Saṃvarodayatantra-ch25_Yamano_2007.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch27_Szántó-metadata.json,Samvarodaya_27.txt,SA_K12_Āgama_Saṃvarodayatantra-ch27_Szántó.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch29_Tsuda_1976-metadata.json,Samvarodaya_29_Tsuda.txt,SA_K12_Āgama_Saṃvarodayatantra-ch29_Tsuda_1976.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch30_Cicuzza_2001-metadata.json,Samvarodaya-30.txt,SA_K12_Āgama_Saṃvarodayatantra-ch30_Cicuzza_2001.txt,0.85,chapter
SA_K12_Āgama_Saṃvarodayatantra-ch32_Szántó-metadata.json,Samvarodaya-32.txt,SA_K12_Āgama_Saṃvarodayatantra-ch32_Szántó.txt,0.85,chapter
SA_K12_Āgama_Sumukhā_Szántó-metadata.json,D614-915 Sumukhā.txt,SA_K12_Āgama_Sumukhā_Szántó.txt,1.00,exact
SA_K12_Āgama_Surūpādhāraṇī_Szántó-metadata.json,D540-1078 Surūpādhāraṇī.txt,SA_K12_Āgama_Surūpādhāraṇī_Szántó.txt,1.00,exact
SA_K12_Āgama_Uṣṇīṣavijayādhāraṇī_Yuyama-metadata.json,Uṣṇīṣavijayā_Amoghavajra_Yuyama_reskt.txt,SA_K12_Āgama_Uṣṇīṣavijayādhāraṇī_Yuyama.txt,0.78,stem
SA_K12_Āgama_Vajrabhairavatantra_Wenta_2020-metadata.json,Vajrabhairavatantra.txt,SA_K12_Āgama_Vajrabhairavatantra_Wenta_2020.txt,1.00,exact
SA_K12_Āgama_Vajratuṇḍanāgasamaya_Hidas-metadata.json,Vajratundanagasamaya.doc,SA_K12_Āgama_Vajratuṇḍanāgasamaya_Hidas.doc,1.00,exact
SA_K12_Āgama_Vajravidāraṇādhāraṇī_Szántó-metadata.json,Vajravidāraṇā.txt,SA_K12_Āgama_Vajravidāraṇādhāraṇī_Szántó.txt,0.85,substr
SA_K12_Āgama_Vajraḍākatantra-selected-chs_Sugiki-metadata.json,Vajraḍākatantra-pubchs.txt,SA_K12_Āgama_Vajraḍākatantra-selected-chs_Sugiki.txt,0.82,stem
SA_K12_Āgama_Vajrāmṛtatantra_Szántó-metadata.json,Vajrāmṛtatantra.txt,SA_K12_Āgama_Vajrāmṛtatantra_Szántó.txt,1.00,exact
SA_K12_Āgama_Vajrārallitantra-testimonia_Szántó-metadata.json,T426_Vajrārali.txt,SA_K12_Āgama_Vajrārallitantra-testimonia_Szántó.txt,0.78,stem
SA_K12_Āgama_Vasudhārādhāraṇī-NAK-1-1076_Szántó-metadata.json,NAK 1-1076 NGMPP A 39-8 vasudhaaraadhaaranii.txt,SA_K12_Āgama_Vasudhārādhāraṇī-NAK-1-1076_Szántó.txt,0.85,substr
SA_K12_Āgama_Yoginījālamahātantra-fragment_Szántó-metadata.json,yoginījālamahātantra_frag.txt,SA_K12_Āgama_Yoginījālamahātantra-fragment_Szántó.txt,0.85,substr
SA_K12_Āgama_Yogāmbaratantra_Szántó-metadata.json,yogaambaramahaatantra.txt,SA_K12_Āgama_Yogāmbaratantra_Szántó.txt,0.78,stem
SA_T01_Candragomin_Deśanāstava_Szántó-metadata.json,D1159_Candragomin_Deśanāstava.txt,SA_T01_Candragomin_Deśanāstava_Szántó.txt,0.90,substr
SA_T01_Harṣa_Aṣṭamahācaityavandanā_Szántó-metadata.json,D1168_Harṣa_Aṣṭamahācaityavandanā-Lévi.txt,SA_T01_Harṣa_Aṣṭamahācaityavandanā_Szántó.txt,0.90,substr
SA_T01_Harṣa_Mārajitstotra_Szántó-metadata.json,D1117_*Mārajitstotra_Harṣa.txt,SA_T01_Harṣa_Mārajitstotra_Szántó.txt,0.90,substr
SA_T01_Harṣa_Suprabhātastava_Szántó-metadata.json,D1167_Harṣa_Suprabhātastava-Liu.txt,SA_T01_Harṣa_Suprabhātastava_Szántó.txt,0.90,substr
SA_T01_Jñānayaśas_Jātakastava_Szántó-metadata.json,D1178_Jñānayaśas_Jātakastava-Shack.txt,SA_T01_Jñānayaśas_Jātakastava_Szántó.txt,0.90,substr
SA_T01_Mātṛceṭa_Ekottarikastotra_Szántó-metadata.json,D1141_Mātṛceṭa_Ekottarikastotra-Terzová.txt,SA_T01_Mātṛceṭa_Ekottarikastotra_Szántó.txt,0.90,substr
SA_T01_Mātṛceṭa_Varṇārhavarṇastotra_Szántó-metadata.json,D1138_Mātṛceṭa_Varṇārhavarṇastotra-Hartmann-OlsoRiptxt.txt,SA_T01_Mātṛceṭa_Varṇārhavarṇastotra_Szántó.txt,0.90,substr
SA_T01_Mātṛceṭa_Śatapañcāśatka_Szántó-metadata.json,D1147_Mātṛceṭa_Śatapañcāśatka-SchackGretil.txt,SA_T01_Mātṛceṭa_Śatapañcāśatka_Szántó.txt,0.90,substr
SA_T01_Nāgārjuna_Acintyastava_Szántó-metadata.json,D1128_Nāgārjuna_Acintyastava-TolaDragonetti.txt,SA_T01_Nāgārjuna_Acintyastava_Szántó.txt,0.90,substr
SA_T01_Nāgārjuna_Dharmadhātustava_Szántó-metadata.json,D1118_Nāgārjuna_Dharmadhātustava-Liu-Kano.txt,SA_T01_Nāgārjuna_Dharmadhātustava_Szántó.txt,0.90,substr
SA_T01_Nāgārjuna_Lokātītastava_Szántó-metadata.json,D1120_Nāgārjuna_Lokātītastava-TolaDragonetti.txt,SA_T01_Nāgārjuna_Lokātītastava_Szántó.txt,0.90,substr
SA_T01_Nāgārjuna_Narakoddharastava_Szántó-metadata.json,D1137_Nāgārjuna_Narakoddharastava-LindtnerMs.txt,SA_T01_Nāgārjuna_Narakoddharastava_Szántó.txt,0.90,substr
SA_T01_Nāgārjuna_Niraupamyastava_Szántó-metadata.json,D1119_Nāgārjuna_Niraupamyastava-TolaDragonetti.txt,SA_T01_Nāgārjuna_Niraupamyastava_Szántó.txt,0.90,substr
SA_T01_Nāgārjuna_Paramārthastava_Szántó-metadata.json,D1122_Nāgārjuna_Paramārthastava-TolaDragonetti.txt,SA_T01_Nāgārjuna_Paramārthastava_Szántó.txt,0.90,substr
SA_T01_Nāgārjuna_Sattvārādhanastava-Cheung_Szántó-metadata.json,D1125-4516_Nāgārjuna_Sattvārādhanastava-Cheung.txt,SA_T01_Nāgārjuna_Sattvārādhanastava-Cheung_Szántó.txt,0.90,substr
SA_T01_Nāgārjuna_Sattvārādhanastava-Lévi_Szántó-metadata.json,D1125-4516_Nāgārjuna_Sattvārādhanastava-Lévi+frag.txt,SA_T01_Nāgārjuna_Sattvārādhanastava-Lévi_Szántó.txt,0.90,substr
SA_T01_Nāgārjuna_Trikāyastava_Szántó-metadata.json,D1123_Nāgārjuna_*Trikāyastava.txt,SA_T01_Nāgārjuna_Trikāyastava_Szántó.txt,0.90,substr
SA_T01_Rādhasvāmin_Viśeṣastava_Szántó-metadata.json,D1109-4562 Rādhasvāmin-Viśeṣastava.txt,SA_T01_Rādhasvāmin_Viśeṣastava_Szántó.txt,0.90,substr
SA_T01_Rāhulabhadra_Nirvikalpastuti_Szántó-metadata.json,D1127_Rāhulabhadra_Nirvikalpastuti-ms.txt,SA_T01_Rāhulabhadra_Nirvikalpastuti_Szántó.txt,0.90,substr
SA_T01_Sugataśrī_Kīrtidhvajapraśasti_Szántó-metadata.json,D1171_Sugataśrī_*Kīrtidhvajapraśasti.txt,SA_T01_Sugataśrī_Kīrtidhvajapraśasti_Szántó.txt,0.90,substr
SA_T01_Vasudhārā_Buddhastotra_Szántó-metadata.json,D1114_*Vasudhārā_*Buddhastotra-CULfrag.txt,SA_T01_Vasudhārā_Buddhastotra_Szántó.txt,0.90,substr
SA_T01_anon_Saptajinastava_Szántó-metadata.json,D1165_anon_Saptajinastava.txt,SA_T01_anon_Saptajinastava_Szántó.txt,0.90,substr
SA_T01_Āditya_Vanaratnastotra_Szántó-metadata.json,D1177_Āditya_Vanaratnastotra-Hahn.txt,SA_T01_Āditya_Vanaratnastotra_Szántó.txt,0.90,substr
SA_T01_Śaṃkarasvāmin_Devātiśayastotra_Szántó-metadata.json,D1112 Śaṃkarasvāmin-Devātiśayastotra.txt,SA_T01_Śaṃkarasvāmin_Devātiśayastotra_Szántó.txt,0.90,substr
